date,twoPM,fourPM,ninePM
"'Oct 12, 2009'",'238','531','680'
"'Oct 13, 2009'",'615','982','205'
"'Oct 14, 2009'",'163','564','969'
"'Oct 15, 2009'",'825','901','865'
"'Oct 16, 2009'",'944','884','758'
"'Oct 17, 2009'",'956','538','199'
"'Oct 18, 2009'",'064','188','313'
"'Oct 18, 2009'",'097','911','875'
"'Oct 19, 2009'",'703','180','553'
"'Oct 20, 2009'",'185','466','288'
"'Oct 21, 2009'",'392','353','814'
"'Oct 22, 2009'",'450','270','260'
"'Oct 23, 2009'",'624','517','536'
"'Oct 24, 2009'",'943','827','199'
"'Oct 25, 2009'",'722','435','546'
"'Oct 26, 2009'",'233','397','227'
"'Oct 27, 2009'",'012','849','219'
"'Oct 28, 2009'",'702','195','420'
"'Oct 29, 2009'",'205','759','212'
"'Oct 30, 2009'",'692','661','640'
"'Oct 31, 2009'",'203','071','406'
"'Nov 01, 2009'",'821','173','412'
"'Nov 02, 2009'",'479','043','084'
"'Nov 03, 2009'",'939','933','005'
"'Nov 04, 2009'",'763','662','883'
"'Nov 05, 2009'",'098','637','713'
"'Nov 06, 2009'",'567','422','143'
"'Nov 07, 2009'",'671','370','788'
"'Nov 08, 2009'",'047','315','573'
"'Nov 09, 2009'",'714','403','201'
"'Nov 10, 2009'",'275','043','486'
"'Nov 11, 2009'",'451','570','031'
"'Nov 12, 2009'",'818','161','100'
"'Nov 13, 2009'",'610','611','972'
"'Nov 14, 2009'",'990','682','301'
"'Nov 15, 2009'",'298','245','238'
"'Nov 16, 2009'",'766','101','579'
"'Nov 17, 2009'",'885','989','842'
"'Nov 19, 2009'",'208','946','985'
"'Nov 20, 2009'",'594','860','978'
"'Nov 21, 2009'",'861','390','400'
"'Nov 22, 2009'",'376','085','481'
"'Nov 23, 2009'",'607','050','747'
"'Nov 24, 2009'",'596','166','713'
"'Nov 25, 2009'",'372','575','044'
"'Nov 26, 2009'",'502','290','388'
"'Nov 27, 2009'",'741','656','987'
"'Nov 28, 2009'",'006','314','393'
"'Nov 29, 2009'",'557','576','367'
"'Nov 30, 2009'",'605','116','261'
"'Dec 01, 2009'",'168','950','961'
"'Dec 02, 2009'",'391','832','778'
"'Dec 03, 2009'",'068','417','237'
"'Dec 04, 2009'",'072','193','229'
"'Dec 05, 2009'",'612','831','982'
"'Dec 06, 2009'",'161','120','028'
"'Dec 07, 2009'",'517','582','409'
"'Dec 08, 2009'",'302','082','320'
"'Dec 09, 2009'",'073','084','226'
"'Dec 10, 2009'",'995','938','116'
"'Dec 11, 2009'",'049','786','260'
"'Dec 12, 2009'",'091','922','256'
"'Dec 13, 2009'",'701','099','933'
